source account,text,date,tweets ago,compound score,positive score,neutral score,negative score
@BBC,"Women are more likely to wait longer for a health diagnosis and to be told it’s ‘all in their heads’.
👉… https://t.co/9u3Pb6hQpT",2018-06-02,0,0.0,0.0,1.0,0.0
@BBC,"A once-in-a-lifetime conversation with Eileen Atkins, Judi Dench, Maggie Smith and Joan Plowright. ✨

Nothing Like… https://t.co/JxH075mKLm",2018-06-02,1,0.4215,0.167,0.833,0.0
@BBC,"Not long to go now...⚽️

#HistoryWillBeMade https://t.co/Q2BX0nK5vg",2018-06-02,2,0.0,0.0,1.0,0.0
@BBC,A project to provide free sanitary products to women from low income households in Aberdeen is to be rolled out acr… https://t.co/wfdK5nWCsC,2018-06-02,3,0.296,0.135,0.779,0.086
@BBC,🍽️🤣 When you’re too polite to complain. https://t.co/CrzNNixuaY,2018-06-02,4,-0.3612,0.0,0.737,0.263
@BBC,🌏💫 13.8 billion years of our universe's history packed into four minutes. https://t.co/EBGmVry69j,2018-06-02,5,0.0,0.0,1.0,0.0
@BBC,RT @BBCShakespeare: Turns out even #Shakespeare acting legends love a good get together. 🎭 Tag those special friends you share everything w…,2018-06-02,6,0.9337,0.502,0.498,0.0
@BBC,"Anthony Hopkins. Emma Thompson. William Shakespeare...

👑 It really doesn't get much better than this.  
#KingLear https://t.co/wQBYFQIIlf",2018-06-02,7,-0.3412,0.0,0.862,0.138
@BBC,"📱 Are health apps actually bad for your health?

'The danger is when we reduce our self-worth to a number.'
👉… https://t.co/AOWkdvf3TY",2018-06-02,8,-0.7845,0.0,0.723,0.277
@BBC,"RT @BBCSpringwatch: BREAKING NEWS! 🚨

Our wrens have started to fledge the nest 😍 Stay up to date at https://t.co/gIA23qZAHX
#Springwatch h…",2018-06-02,9,0.0,0.0,1.0,0.0
@BBC,"In 1966, a group of schoolchildren made some sad and uncannily accurate predictions about the future. https://t.co/gNGkpeyoZ9",2018-06-02,10,-0.4767,0.0,0.829,0.171
